,chapter,verse,reading_id,reading,alternative_reading
0,1,2,1,παρεδωκαν,παρεδοσαν
1,1,7,2,ην η ελισαβετ,η ελισαβετ ην
1,1,7,2,ην η ελισαβεθ,η ελισαβεθ ην
2,1,7,3,omit η,η
3,1,8,4,εναντιον,εναντι
4,1,9,5,θεου,κυριου
5,1,10,6,ην του λαου,του λαου ην
6,1,14,7,εν,επι
7,1,14,8,γενεσει,γεννεσει
8,1,15,9,omit του,του
9,1,15,10,θεου,κυριου
10,1,16,11,προς,επι
11,1,17,12,ετοιμασαι τω,ετοιμασαι
12,1,21,13,εθαυμαζεν,εθαυμαζον
13,1,22,14,εδυνατο,ηδυνατο
14,1,22,15,omit αυτοις,αυτοις
15,1,22,16,διεμεινε,διεμενεν
15,1,22,16,διεμεινε,διεμενε
16,1,23,17,επληρωθησαν,επλησθησαν
17,1,24,18,τας ημερας ταυτας,ταυτας τας ημερας
18,1,25,19,εφειδεν,επειδεν
19,1,26,20,απο,υπο
20,1,26,21,omit του,του
21,1,26,22,Ναζαρεθ,Ναζαρετ
22,1,27,23,οικου και πατριας,οικου
23,1,29,24,δε,δε ιδουσα
24,1,29,25,επι τω λογω διεταραχθη,διεταραχθη επι τω λογω
25,1,29,26,τω λογω,τω λογω αυτου
26,1,30,27,αυτη ο αγγελος,ο αγγελος αυτη
27,1,34,28,εσται μοι,εσται
28,1,35,29,γεννωμενον εκ σου,γεννωμενον
29,1,39,30,και αναστασα,αναστασα δε
30,1,39,31,omit δε,δε
31,1,41,32,τον ασπασμον της μαριας η ελισαβετ,η ελισαβετ τον ασπασμον της μαριας
32,1,42,33,ανεβοησεν,ανεφωνησεν
33,1,42,33,ανεβοησε,ανεφωνησε
34,1,44,34,το βρεφος εν αγαλλιασει,εν αγαλλιασει το βρεφος
35,1,45,35,εσται η,εσται
36,1,50,36,γενεαν και γενεαν,γενεας και γενεας
37,1,55,37,εως αιωνος,εις τον αιωνα
38,1,57,38,της,τη
39,1,59,39,ημερα τη ογδοη,ογδοη ημερα
40,1,61,40,omit οτι,οτι
41,1,61,41,εκ της συγγενειας,εν τη συγγενεια
42,1,62,42,αυτο,αυτον
43,1,63,43,εσται,εστιν
44,1,63,43,εσται,εστι
45,1,65,44,εγενετο δε,και εγενετο
46,1,65,45,omit,παντα
47,1,66,46,αυτων,αυτου
48,1,67,47,επροφητευσε,προφητευσε
49,1,67,47,επροφητευσεν,προφητευσεν
50,1,69,48,εν,εν τω
51,1,70,49,αγιων,αγιων των
52,1,74,50,χειρος,χειρος των
53,1,74,51,εχθρων,εχθρων ηνων
54,1,75,52,ημεραις,ημεραις της ζωης
55,1,77,53,ημων,αυτων
56,1,80,54,λαον,ισραηλ
57,10,1,1,δυο δυο,δυο
58,10,1,2,εαυτου,αυτου
59,10,1,3,ημελλεν,εμελλεν
60,10,1,4,διερχεσθαι,ερχεσθαι
61,10,1,5,εισερχεσθαι,
62,10,2,6,ειπεν,ελεγεν
63,10,2,7,ειπεν,δε  ουν
64,10,2,8,οπως αν,οπως
65,10,3,9,προβατα,αρνας
66,10,4,10,μητε,μη
67,10,4,11,μη,μηδε
68,10,4,12,μητε,
69,10,5,13,εισελθητε,εισερχησθε
70,10,5,14,ειρηνη εν,ειρηνη
71,10,6,15,εαν,εαν μεν
72,10,6,16,προς,εφ
73,10,7,17,οικιαν,οικιας
74,10,8,18,ην,ην δ'
75,10,8,19,εισερχεσθε,εισερχησθε
76,10,10,20,εισελθητε,εισερχησθε
77,10,11,21,υμιν,ημιν
78,10,11,22,εις τους ποδας,omit
79,10,12,23,λεγω,λεγω δε
80,10,12,24,ανεκτοτερον εσται εν τη ημερα εκεινη,εν τη ημερα εκεινη ανεκτοτερον εσται
81,10,13,25,Βηθσαιδαν,Βηθσαιδα
82,10,13,26,εγενηθησαν,εγενοντο
83,10,14,27,εν τη κρισει ανεκτοτερον εσται,ανεκτοτερον εσται εν τη κρισει
84,10,14,28,ημερα κρισεως,εν τη κρισει
85,10,14,28,εν ημερα κρισεως,εν τη κρισει
86,10,15,29,υψωθειση,υψωθεισα
87,10,16,30,υμων ακουων,ακουων υμων
88,10,16,31,με και ο ακουων εμου ακουει του αποστειλαντος με,με
89,10,17,32,μετα χαρας οι εβδομηκοντα,οι εβδομηκοντα μετα χαρας
90,10,17,33,εβδομηκοντα μαθηται,εβδομηκοντα
91,10,17,34,ημιν υποτασσεται,υποτασσεται ημιν
92,10,21,35,αυτη δε,αυτη
93,10,21,36,ο Ιησους τω πνευματι,τω πνευματι τω αγιω
94,10,22,37,παντα,και στραφεις προς τους μαθητας ειπε παντα
95,10,22,38,παρα δεδοται,παρεδοθε
96,10,22,39,omit,τις εστιν ο υιος ει μη ο πατηρ
97,10,23,40,ειπεν αυτοις,ειπεν
98,10,24,41,δε,γαρ
99,10,26,42,δε Ιησους,δε
100,10,28,43,αυτω Ιησους,αυτω
101,10,30,44,εξεδυσαν,εκδυσαντες
102,10,30,45,ημιθανη,ημιθανη τυγχανοντα
103,10,32,46,omit γενομενος,γενομενος
104,10,32,47,omit ελθων,ελθων
105,10,32,48,ιδων αυτον,ιδων
106,10,33,49,ιδων,ιδων αυτον
107,10,34,50,omit αυτον,αυτον
108,10,35,51,αυριον,αυριον εξελθον
109,10,35,52,ειπεν,ειπεν αυτω
110,10,35,53,τι δ,τι  '
111,10,35,54,omit εγω,εγω
112,10,35,55,μοι,με
113,10,36,56,τις,τις ουν
114,10,36,57,πλησιον δοκει σοι,δοκει σοι πλησιον
115,10,37,58,δε,ουν
116,10,38,59,αυτον,αυτους
117,10,39,60,των λογων,τον λογον
118,10,39,61,τους λογους,
119,10,40,62,μελλει,μελει
120,10,41,63,ο κυριος ειπεν αυτη,ειπεν αυτη ο κυριος
121,10,42,64,γαρ,δε
122,20,1,1,ημερων,ημερων εκεινων
123,20,1,2,omit εν τω ιερω,εν τω ιερω
124,20,1,3,γραμματεις και οι αρχιερεις,αρχιερεις και οι γραμματεις
125,20,1,4,ιερεις,αρχιερεις
126,20,2,5,οmit και ειπαν,και ειπαν
127,20,2,6,λεγοντες προς αυτον,προς αυτον λεγοντες
128,20,2,7,ειπον,ειπε
129,20,3,8,καγω υμας,υμας καγω
130,20,3,9,λογον ενα,ενα λογον
131,20,3,10,omit,ενα
132,20,5,11,διελογισαντο,συνελογισαντο
133,20,5,12,omit οτι,οτι
134,20,5,13,δια τι,δια τι ουν
135,20,6,14,ο λαος απας,πας ο λαος
136,20,6,15,γεγονεναι,ειναι
137,20,7,16,ειδεναι το,ειδεναι
138,20,7,17,omit,ποθεν
139,20,8,18,ο δε,και ο
140,20,9,19,omit,τις
141,20,10,20,και τω,και
142,20,10,21,εν τω,και εν
143,20,10,21,εν τω,
144,20,10,22,λαβε απο του καρπου του αμπελωνος,απο του καρπου του αμπελωνος δωσουσιν αυτω
145,20,10,23,απεστειλαν,εξαπεστειλαν
146,20,12,24,κακεινον,και τουτον
147,20,13,25,τουτον,τουτον ιδοντες
148,20,14,26,διελογισαντο,διελογιζοντο
149,20,14,27,αλληλους,εαυτους
150,20,14,28,κληρονομος,κληρονομος δευτε
151,20,14,29,και ημων εστι,ινα ημων γενηται
152,20,14,29,και ημων εσται,ινα ημων εσται
153,20,15,30,οmit αυτον,αυτον
154,20,16,31,εκεινους,τουτος
155,20,18,32,εις,επ
156,20,19,33,γραμματεις και οι αρχιερεις,αρχιερεις και οι γραμματεις
157,20,19,34,την χειρα,τας χειρας
158,20,19,35,omit,τον λαον
159,20,19,36,οχλον,τον λαον
160,20,19,37,ειπεν την παραβολην ταυτην,την παραβολην ταυτην ειπεν
161,20,19,37,ειπε την παραβολην ταυτην,την παραβολην ταυτην ειπε
162,20,22,38,ημας,ημιν
163,20,22,39,φορους,φορον
164,20,22,40,διδονται,δουναι
165,20,23,41,αυτους,αυτους τι μη πειραζετε
166,20,24,42,δειξατε,επιδειξατε
167,20,24,43,δηναριον οι δε εδειξαν και ειπε,δηναριον
168,20,25,44,omit δε,δε
169,20,25,45,προς αυτους,αυτοις
170,20,25,46,τοινυν αποδοτε,αποδοτε τοινυν
171,20,25,47,Καισαρος τω,Καισαρος
172,20,27,48,λεγοντες,αντιλεγοντες
173,20,27,49,επηρωτουν,επηρωτεσαν
174,20,28,50,Μωυσης,Μωσης
175,20,28,51,η,αποθανη
176,20,28,52,η,λαβη ο αδελφος αυτου  ο αδελφος αυτου  λαβη
177,20,29,53,ησαν παρ ημιν,ησαν
178,20,31,54,ωσαυτως ως αυτως,ωσαυτως
179,20,31,55,επτα,επτα και
180,20,31,56,omit και απεθανον,και απεθανον
181,20,32,57,υστερον παντων,υστερον
182,20,32,58,δε,υστερον δε παντων
183,20,33,59,εν τη αναστασει ουν,ουν εν τη αναστασει
184,20,33,60,εσται,γινεται
185,20,34,61,εκγαμιζονται,γαμισκονται
186,20,35,62,εκγαμιζονται,γαμιζονται
187,20,36,63,omit ετι,ετι
188,20,36,64,omit εισι,εισιν
189,20,36,64,omit εισιν,εισι
190,20,37,65,Μωυσης,Μωσης
191,20,37,66,εμνημονευσεν,εμηνυσεν
192,20,39,67,λεγεις,ειπας
193,20,40,68,επερωτησαι,επερωταν
194,20,40,69,ουδε εν,ουδεν
195,20,41,70,λεγουσι τινες,λεγουσι
196,20,41,70,λεγουσι τινες,λεγουσιν
197,20,41,71,οι γραμματεις οτι ο Χριστος υιος δαυιδ εστιν,και Χριστον ειναι Δαυιδ υιον
198,20,42,72,αυτος γαρ,και αυτος
199,20,42,73,βιβλω των,βιβλω
200,20,44,74,αυτον κυριον,κυριον αυτον
201,20,44,75,αυτου υιος,υιος αυτου
202,20,46,76,εν στολαις περιπατειν,περιπατειν εν στολαις
203,20,47,77,κατεσθιοντες,κατεσθιουσι
204,20,47,78,προσευχομενοι,προσευχονται
